backend-fastapi-1  | INFO:     Started server process [1]
backend-fastapi-1  | INFO:     Waiting for application startup.
backend-fastapi-1  | INFO:     Application startup complete.
backend-fastapi-1  | INFO:     Uvicorn running on http://0.0.0.0:4557 (Press CTRL+C to quit)
backend-fastapi-1  | INFO:     172.18.0.1:44476 - "GET /translate-text?text=%E5%85%8D%E8%B4%B9%E5%85%A5%E5%9C%BA%E8%BF%98%E8%83%BD%E8%BA%BA%E8%B5%9A%E4%B8%8A%E5%8D%83%E4%B8%87%EF%BC%9F&source=zh&target=en HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:48130 - "GET /translate-text?text=%E5%85%8D%E8%B4%B9%E5%85%A5%E5%9C%BA%E8%BF%98%E8%83%BD%E8%BA%BA%E8%B5%9A%E4%B8%8A%E5%8D%83%E4%B8%87%EF%BC%9F&source=zh&target=en HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:53590 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:34898 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:40046 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:49228 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:36944 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:52550 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:43618 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:33684 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:56196 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:50198 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:35854 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:60306 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:48120 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:39844 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:45914 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:37006 - "GET /docs HTTP/1.1" 200 OK
